City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Karlshamn,SE,42.8,overcast clouds,56.17,14.86,Port Hotel AB
313,Matara,BI,64.08,overcast clouds,-3.48,29.48,
314,Nara,JP,51.8,broken clouds,34.68,135.8,Guesthouse Nara Komachi
315,Margate,AU,73.99,few clouds,-43.03,147.26,Villa Howden
316,Peniche,PT,48.0,mist,39.36,-9.38,Hotel Star inn Peniche
317,Mujiayingzi,CN,34.75,scattered clouds,42.12,118.78,Jinjiang Hotel
318,Hwange,ZW,75.96,overcast clouds,-18.35,26.5,Hwange Colliery Guest House
319,Gyor,HU,28.0,few clouds,47.68,17.64,"Hotel Rába City Center, Győr"
320,Ambilobe,MG,87.01,overcast clouds,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
321,Dubai,AE,69.8,light rain,25.27,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
322,Salinas,US,55.0,clear sky,36.67,-121.66,Good Nite Inn Salinas Monterey
323,Victor Harbor,AU,78.01,clear sky,-35.55,138.62,McCracken Country Club
324,Pulaski,US,37.99,clear sky,37.05,-80.78,Pythagoras Masonic Lodge
325,Roebourne,AU,96.35,broken clouds,-20.77,117.15,Harding River Caravan Park
327,Sindgi,IN,78.13,scattered clouds,16.92,76.23,PWD Guest House remove PWD guest house
328,Ixtapa,MX,66.99,clear sky,20.71,-105.21,Container Inn Puerto Vallarta
329,Teberda,RU,16.74,broken clouds,43.44,41.74,U Ally Hotel
330,Havre-Saint-Pierre,CA,8.6,clear sky,50.23,-63.6,Auberge Niapiskau
332,Rio Cuarto,AR,60.8,overcast clouds,-33.13,-64.35,Hotel Menossi
333,Broken Hill,AU,66.2,overcast clouds,-31.97,141.45,Royal Exchange Hotel
334,Nome,US,60.01,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
335,Burnie,AU,70.0,clear sky,-41.05,145.91,Beachfront Voyager Motor Inn
336,Port Macquarie,AU,88.0,scattered clouds,-31.43,152.91,Rydges Port Macquarie
337,Hobyo,SO,81.73,broken clouds,5.35,48.53,
338,Aguas Belas,BR,72.7,overcast clouds,-9.11,-37.12,Hotel Santa Maria
339,Pacific Grove,US,55.0,clear sky,36.62,-121.92,Lovers Point Inn
340,Beringovskiy,RU,-6.72,overcast clouds,63.05,179.32,Beringgorski
341,Arlit,NE,53.22,few clouds,18.74,7.39,Hôtel Telwa Bungalow
342,Alekseyevsk,RU,16.07,scattered clouds,57.84,108.35,
343,Fortuna,US,43.0,scattered clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
344,Myaundzha,RU,-20.65,scattered clouds,63.05,147.18,
345,Itarema,BR,77.0,broken clouds,-2.92,-39.92,Windvillage
346,Seoul,KR,41.0,overcast clouds,37.57,126.98,Lotte Hotel Seoul
347,Igarka,RU,8.67,overcast clouds,67.47,86.57,"Zapolyar'ye, Gostinitsa"
348,Vardo,US,33.8,overcast clouds,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
349,Najran,SA,59.0,clear sky,17.54,44.22,فندق حياة نجران
350,Pathardi,IN,74.68,clear sky,19.17,75.17,Natraj Lodging
351,Parabel,RU,11.35,overcast clouds,58.71,81.5,Housing Complex Gazprom Transgaz Tomsk
353,Mulchen,CL,46.27,scattered clouds,-37.72,-72.23,Hotel Los Maitenes de Villalón
354,Hualmay,PE,67.42,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
355,Lac Du Bonnet,CA,12.99,clear sky,50.25,-96.06,Casey's Inn Motor Hotel
356,Erdenet,MN,5.99,clear sky,49.03,104.04,Erdenet hotel
357,Tiarei,PF,82.4,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
358,Tocopilla,CL,52.41,clear sky,-22.09,-70.2,Hotel Galvarino
359,Conakry,GN,71.26,few clouds,9.52,-13.7,Golden Plazza
360,Wahpeton,US,25.0,clear sky,46.27,-96.61,Select Inn Breckenridge
361,Maceio,BR,73.4,overcast clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
362,Adrar,DZ,37.4,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
363,Salym,RU,13.69,overcast clouds,60.06,71.48,Gostinitsa V Salyme
364,Olhao,PT,52.0,clear sky,37.03,-7.84,Real Marina Hotel & Spa
365,Melhus,NO,44.6,overcast clouds,63.29,10.28,Karivollen overnatting
367,Dhanera,IN,76.59,clear sky,24.51,72.02,Savani Villa
368,Zyryanka,RU,-14.75,clear sky,65.73,150.89,
369,Praya,ID,87.8,scattered clouds,-8.71,116.27,Grand Royal B.I.L Lombok
370,Kingston,JM,78.8,few clouds,17.97,-76.79,The Jamaica Pegasus Hotel
371,Aurillac,FR,37.4,clear sky,44.93,2.44,Hôtel Restaurant Campanile Aurillac
372,Avera,US,48.2,clear sky,33.19,-82.53,
373,Hasaki,JP,53.01,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
375,Rawson,AR,61.81,broken clouds,-43.3,-65.11,Hospedaje Sampedro
376,Saryg-Sep,RU,-0.89,few clouds,51.49,95.55,
377,Las Cruces,CL,57.2,clear sky,-33.5,-71.62,Casa Rembrandt
378,Nadvoitsy,RU,21.56,overcast clouds,63.89,34.27,Sever Nadvoitsy
379,Santa Maria,BR,69.8,broken clouds,-16.02,-48.01,HOTEL BRASILIA PARK / NOVO GAMA - GO
381,Clinton,US,36.0,clear sky,41.28,-72.53,Abel Buell Home
382,Komsomolskiy,RU,7.47,overcast clouds,67.55,63.78,
383,Ylivieska,FI,33.01,overcast clouds,64.07,24.53,hotel Käenpesä
384,Amherst,US,33.01,light rain,42.98,-78.8,Homewood Suites by Hilton Buffalo-Amherst
387,Luba,PH,84.04,clear sky,17.32,120.7,
388,Broome,GB,46.4,clear sky,52.47,1.45,Angel House B & B
389,Auki,NG,61.59,broken clouds,12.18,6.51,
390,Nikolsk,RU,9.3,few clouds,59.53,45.45,Hotel Camellia
